SKU,Order,Delivery Date,Description
15668519,6586085,2014-09-03,DAILY BREAD_Bread  Sandwich
15668519,6510095,2014-09-17,DAILY BREAD_Bread  Sandwich
15668519,8086192,2014-04-05,DAILY BREAD_Bread  Sandwich
15668519,8021447,2014-05-03,DAILY BREAD_Bread  Sandwich
15668519,8091703,2014-04-07,DAILY BREAD_Bread  Sandwich
15668519,8060477,2014-04-22,DAILY BREAD_Bread  Sandwich
15668519,6803555,2014-06-26,DAILY BREAD_Bread  Sandwich
15668519,6500803,2014-09-15,DAILY BREAD_Bread  Sandwich
15668519,6459656,2014-09-21,DAILY BREAD_Bread  Sandwich
15668519,6591489,2014-08-17,DAILY BREAD_Bread  Sandwich
15668519,6562909,2014-08-28,DAILY BREAD_Bread  Sandwich
15668519,6716232,2014-07-27,DAILY BREAD_Bread  Sandwich
15668519,6729204,2014-07-14,DAILY BREAD_Bread  Sandwich
15668519,6671773,2014-08-02,DAILY BREAD_Bread  Sandwich
15668519,6608291,2014-08-22,DAILY BREAD_Bread  Sandwich
15668519,6754800,2014-07-01,DAILY BREAD_Bread  Sandwich
15668519,6477007,2014-09-27,DAILY BREAD_Bread  Sandwich
15668519,6542228,2014-09-08,DAILY BREAD_Bread  Sandwich
15668519,6434760,2014-10-03,DAILY BREAD_Bread  Sandwich
15668519,6642647,2014-08-12,DAILY BREAD_Bread  Sandwich
15668519,6805789,2014-06-27,DAILY BREAD_Bread  Sandwich
15668519,7880997,2014-06-14,DAILY BREAD_Bread  Sandwich
15668519,7958301,2014-05-27,DAILY BREAD_Bread  Sandwich
15668519,6739757,2014-07-15,DAILY BREAD_Bread  Sandwich
15668519,6557470,2014-08-26,DAILY BREAD_Bread  Sandwich
15668519,8053741,2014-04-19,DAILY BREAD_Bread  Sandwich
15668519,6574325,2014-08-31,DAILY BREAD_Bread  Sandwich
15668519,7917069,2014-06-04,DAILY BREAD_Bread  Sandwich
15668519,6431269,2014-10-01,DAILY BREAD_Bread  Sandwich
15668519,7925134,2014-06-07,DAILY BREAD_Bread  Sandwich
15668519,7900626,2014-05-30,DAILY BREAD_Bread  Sandwich
15668519,6670494,2014-08-03,DAILY BREAD_Bread  Sandwich
15668519,6474225,2014-09-25,DAILY BREAD_Bread  Sandwich
15668519,6527703,2014-09-05,DAILY BREAD_Bread  Sandwich
15668519,7970214,2014-05-08,DAILY BREAD_Bread  Sandwich
15668519,7897302,2014-05-29,DAILY BREAD_Bread  Sandwich
15668519,6675515,2014-08-04,DAILY BREAD_Bread  Sandwich
15668519,7874663,2014-06-11,DAILY BREAD_Bread  Sandwich
15668519,7920076,2014-06-05,DAILY BREAD_Bread  Sandwich
15668519,6489978,2014-09-12,DAILY BREAD_Bread  Sandwich
15668519,7975922,2014-05-10,DAILY BREAD_Bread  Sandwich
15668519,7991697,2014-05-16,DAILY BREAD_Bread  Sandwich
15668519,6448473,2014-10-07,DAILY BREAD_Bread  Sandwich
15668519,6512162,2014-09-18,DAILY BREAD_Bread  Sandwich
15668519,8084238,2014-04-05,DAILY BREAD_Bread  Sandwich
15668519,6567024,2014-08-29,DAILY BREAD_Bread  Sandwich
15668519,6425780,2014-09-30,DAILY BREAD_Bread  Sandwich
15668519,7866103,2014-06-08,DAILY BREAD_Bread  Sandwich
15668519,6523432,2014-09-03,DAILY BREAD_Bread  Sandwich
15668519,7917434,2014-06-04,DAILY BREAD_Bread  Sandwich
15668519,6616603,2014-08-24,DAILY BREAD_Bread  Sandwich
15668519,6456065,2014-09-20,DAILY BREAD_Bread  Sandwich
15668519,7875716,2014-06-12,DAILY BREAD_Bread  Sandwich
15668519,6767450,2014-07-04,DAILY BREAD_Bread  Sandwich
15668519,6789248,2014-06-22,DAILY BREAD_Bread  Sandwich
15668519,8030671,2014-04-09,DAILY BREAD_Bread  Sandwich
15668519,6804869,2014-06-26,DAILY BREAD_Bread  Sandwich
15668519,6661864,2014-07-30,DAILY BREAD_Bread  Sandwich
15668519,6529493,2014-09-06,DAILY BREAD_Bread  Sandwich
15668519,6703849,2014-07-24,DAILY BREAD_Bread  Sandwich
15668519,6500329,2014-09-14,DAILY BREAD_Bread  Sandwich
15668519,7998412,2014-04-23,DAILY BREAD_Bread  Sandwich
15668519,8014053,2014-04-30,DAILY BREAD_Bread  Sandwich
15668519,8040195,2014-04-13,DAILY BREAD_Bread  Sandwich
15668519,6534139,2014-09-07,DAILY BREAD_Bread  Sandwich
15668519,6439523,2014-10-04,DAILY BREAD_Bread  Sandwich
15668519,8046928,2014-04-16,DAILY BREAD_Bread  Sandwich
15668519,6613590,2014-08-24,DAILY BREAD_Bread  Sandwich
15668519,6758758,2014-07-02,DAILY BREAD_Bread  Sandwich
15668519,6645144,2014-08-13,DAILY BREAD_Bread  Sandwich
15668519,6694983,2014-07-21,DAILY BREAD_Bread  Sandwich
15668519,6664902,2014-08-01,DAILY BREAD_Bread  Sandwich
15668519,7901639,2014-05-31,DAILY BREAD_Bread  Sandwich
15668519,6718192,2014-07-09,DAILY BREAD_Bread  Sandwich
15668519,6559781,2014-08-27,DAILY BREAD_Bread  Sandwich
15668519,6699768,2014-07-22,DAILY BREAD_Bread  Sandwich
15668519,6661374,2014-07-30,DAILY BREAD_Bread  Sandwich
15668519,7965660,2014-05-06,DAILY BREAD_Bread  Sandwich
